L shoulder	319.6498	396.805	-258.8896	321.0019	397.3426	-176.0038	320.2528	397.0851	-224.1723	1.352081	0.5376282	82.88588
L Elbow	380.8497	11.20775	-52.51232	382.7736	16.70547	86.27946	382.2144	14.1893	11.81596	1.92392	5.497713	138.7918
L Wrist	405.7078	-351.6171	-555.8976	406.7272	-344.3032	-355.1696	406.2588	-347.371	-479.3783	1.019409	7.313904	200.728
R shoulder	-160.3583	392.2845	-333.3811	-159.38	393.5875	-277.7756	-159.9309	392.8271	-296.2268	0.9782562	1.302948	55.60547
R Elbow	-215.0797	7.789502	-363.7294	-213.962	9.100699	-191.7539	-214.6944	8.601431	-243.6121	1.117676	1.311197	171.9755
R Wrist	-198.9477	-338.1458	-955.4043	-197.2825	-330.5492	-633.476	-197.7556	-334.6305	-745.3105	1.665222	7.596649	321.9283
L Hip	237.7716	-359.8436	6.84953	240.0694	-355.1569	31.48953	239.0331	-357.0158	19.25146	2.297821	4.686707	24.64
L Knee	247.4394	-836.9796	-221.4301	257.6767	-827.2842	-165.6188	253.4112	-830.7737	-198.0297	10.23735	9.695435	55.81136
L Ankle	230.4039	-1322.187	1080.21	242.6753	-1255.403	1397.456	235.6487	-1285.622	1263.599	12.27145	66.78369	317.2458
R Hip	-57.82523	-362.2951	-30.20508	-56.99178	-358.3395	-5.764729	-57.42294	-359.7502	-17.98187	0.8334541	3.955536	24.44036
R Knee	-74.93766	-849.989	-114.137	-61.77625	-834.7023	57.07044	-68.24854	-841.4124	-47.92557	13.16142	15.28674	171.2075
R Ankle	-44.56721	-1327.883	1199.522	-7.33378	-1265.506	1344.769	-21.50123	-1294.026	1276.685	37.23343	62.37671	145.2469
---------------------------------------------
L shoulder	327.8756	387.8621	-473.7805	329.5471	389.5379	-348.032	328.7323	388.6908	-398.0465	1.671539	1.675842	125.7485
L Elbow	391.2748	17.28532	-389.7873	396.8559	22.98067	-194.9163	394.7252	20.06658	-304.4075	5.581085	5.695351	194.871
L Wrist	414.2058	-349.909	-949.7523	417.0464	-339.9302	-528.3929	415.711	-344.7191	-763.1842	2.840546	9.97879	421.3593
